,Id_compteur,lat,lng,Nom_métro,Distance_métro,Distance_centre_Paris,Arrondissement,Superficie,Population,Densité_pop,Nom_compteur,Comptage_moyen,CodeClasse,Classe_comptage
67,100056329-103056329,48.84223,2.36811,Gare d'Austerlitz,0.299,2.487,75113,7.14931109107136,181233.0,25349.715195123972,Pont Charles De Gaulle SO-NE,36.9,0,moins de 50 par heure
68,100056329-104056329,48.84223,2.36811,Gare d'Austerlitz,0.299,2.487,75113,7.14931109107136,181233.0,25349.715195123972,Pont Charles De Gaulle NE-SO,40.8,0,moins de 50 par heure
69,100056330-103056330,48.85209,2.28508,Bir-Hakeim,0.516,4.224,75115,8.49499408101075,232668.0,27388.836034635202,36 quai de Grenelle SO-NE,49.9,0,moins de 50 par heure
70,100056330-104056330,48.85209,2.28508,Bir-Hakeim,0.516,4.224,75115,8.49499408101075,232668.0,27388.836034635202,36 quai de Grenelle NE-SO,81.4,1,de 50 à 100 par heure
71,100056332-103056332,48.83848,2.37587,Quai de la Gare,0.374,3.192,75112,16.3147826372674,140237.0,8595.701402705823,Pont de Bercy NE-SO,42.3,0,moins de 50 par heure
72,100056332-104056332,48.83848,2.37587,Quai de la Gare,0.374,3.192,75112,16.3147826372674,140237.0,8595.701402705823,Pont de Bercy SO-NE,37.7,0,moins de 50 par heure
73,100056334-103056334,48.86502,2.35387,Réaumur Sébastopol,0.2,1.262,75103,1.17088282818778,34306.0,29299.259647608556,38 rue Turbigo NE-SO,94.4,1,de 50 à 100 par heure
74,100056334-104056334,48.86502,2.35387,Réaumur Sébastopol,0.2,1.262,75103,1.17088282818778,34306.0,29299.259647608556,38 rue Turbigo SO-NE,97.8,1,de 50 à 100 par heure
75,100056335-103056335,48.86288,2.31179,Invalides,0.08,2.337,75107,4.09005718546976,49681.0,12146.773931791355,Quai d'Orsay O-E,76.4,1,de 50 à 100 par heure
76,100056335-104056335,48.86288,2.31179,Invalides,0.08,2.337,75107,4.09005718546976,49681.0,12146.773931791355,Quai d'Orsay E-O,114.1,2,de 100 à 175 par heure
77,100056336-105056336,48.85013,2.35423,Jussieu,0.449,1.142,75105,2.5393746228453202,58897.0,23193.50578293448,27 quai de la Tournelle SE-NO,129.4,2,de 100 à 175 par heure
78,100056336-106056336,48.85013,2.35423,Jussieu,0.449,1.142,75105,2.5393746228453202,58897.0,23193.50578293448,27 quai de la Tournelle NO-SE,83.0,1,de 50 à 100 par heure
79,100057329-103057329,48.84201,2.36729,Gare d'Austerlitz,0.214,2.458,75113,7.14931109107136,181233.0,25349.715195123972,Totem 85 quai d'Austerlitz SE-NO,95.8,1,de 50 à 100 par heure
80,100057329-104057329,48.84201,2.36729,Gare d'Austerlitz,0.214,2.458,75113,7.14931109107136,181233.0,25349.715195123972,Totem 85 quai d'Austerlitz NO-SE,78.7,1,de 50 à 100 par heure
81,100057380-103057380,48.86462,2.31444,Invalides,0.288,2.222,75108,3.88003639704363,36250.0,9342.695864301806,Totem Cours la Reine O-E,115.6,2,de 100 à 175 par heure
82,100057380-104057380,48.86462,2.31444,Invalides,0.288,2.222,75108,3.88003639704363,36250.0,9342.695864301806,Totem Cours la Reine E-O,56.4,1,de 50 à 100 par heure
83,100057445-103057445,48.86377,2.35096,Étienne Marcel,0.151,1.017,75102,0.99115374474596,21735.0,21928.98943803198,Totem 73 boulevard de Sébastopol N-S,198.9,3,plus de 175 par heure
84,100057445-104057445,48.86377,2.35096,Étienne Marcel,0.151,1.017,75102,0.99115374474596,21735.0,21928.98943803198,Totem 73 boulevard de Sébastopol S-N,256.0,3,plus de 175 par heure
85,100060178-101060178,48.84638,2.31529,Duroc,0.159,2.284,75115,8.49499408101075,232668.0,27388.836034635202,90 Rue De Sèvres SO-NE,25.7,0,moins de 50 par heure
86,100060178-102060178,48.84638,2.31529,Duroc,0.159,2.284,75115,8.49499408101075,232668.0,27388.836034635202,90 Rue De Sèvres NE-SO,65.0,1,de 50 à 100 par heure
87,100063173-101063173,48.896825,2.345648,Porte de Clignancourt,0.11,4.473,75118,5.99605130811905,193288.0,32235.881593987575,74 Boulevard Ornano S-N,7.6,0,moins de 50 par heure
88,100063175-353277233,48.88529,2.32666,Place de Clichy,0.216,3.382,75118,5.99605130811905,193288.0,32235.881593987575,20 Avenue de Clichy NO-SE,57.3,1,de 50 à 100 par heure
89,100063175-353277235,48.88529,2.32666,Place de Clichy,0.216,3.382,75118,5.99605130811905,193288.0,32235.881593987575,20 Avenue de Clichy SE-NO,56.0,1,de 50 à 100 par heure
90,300014702-353245971,48.83977,2.30198,Vaugirard,0.101,3.501,75115,8.49499408101075,232668.0,27388.836034635202,254 rue de Vaugirard SO-NE,84.3,1,de 50 à 100 par heure
91,300014702-353245972,48.83977,2.30198,Vaugirard,0.101,3.501,75115,8.49499408101075,232668.0,27388.836034635202,254 rue de Vaugirard NE-SO,65.6,1,de 50 à 100 par heure
92,300021312-353293580,48.851131,2.345678,Cluny-La Sorbonne,0.156,0.666,75105,2.5393746228453202,58897.0,23193.50578293448,30 rue Saint Jacques N-S,214.5,3,plus de 175 par heure
93,300021320-353293614,48.89683,2.34521,Porte de Clignancourt,0.075,4.472,75118,5.99605130811905,193288.0,32235.881593987575,69 Boulevard Ornano N-S,138.1,2,de 100 à 175 par heure
